category,capacity,ticket_price,days_remaining,current_fill_rate,booking_velocity_24h,actual_additional_demand,demand_level,capacity_risk
Concert,200,750,5,0.84,57,144,CRITICAL,CRITICAL
Workshop,1000,2000,2,0.68,29,31,HIGH,HIGH
Concert,1000,1000,1,0.71,45,28,HIGH,HIGH
Show,100,0,3,0.44,50,85,CRITICAL,CRITICAL
Cultural,100,2000,6,0.55,18,62,CRITICAL,CRITICAL
Cultural,800,750,19,0.8,34,327,CRITICAL,CRITICAL
Sports,2000,300,23,0.73,34,382,HIGH,HIGH
Show,500,1000,16,0.77,25,254,CRITICAL,CRITICAL
Show,1500,500,29,0.69,16,260,HIGH,HIGH
Cultural,500,2000,19,0.47,7,90,MEDIUM,MEDIUM
Show,1000,0,25,0.25,31,434,MEDIUM,MEDIUM
Concert,100,300,26,0.63,58,846,CRITICAL,CRITICAL
Concert,800,500,21,0.49,42,584,CRITICAL,CRITICAL
Sports,2000,1000,23,0.76,37,578,CRITICAL,CRITICAL
Concert,100,2000,6,0.74,59,170,CRITICAL,CRITICAL
Technology,1000,300,25,0.58,35,478,HIGH,HIGH
Show,1500,500,29,0.21,39,710,MEDIUM,MEDIUM
Workshop,1000,500,26,0.8,9,146,HIGH,HIGH
Technology,2000,250,12,0.92,49,369,CRITICAL,CRITICAL
Concert,800,500,28,0.35,45,703,CRITICAL,CRITICAL
Technology,1500,250,23,0.94,72,1098,CRITICAL,CRITICAL
Show,1500,0,6,0.57,28,113,MEDIUM,MEDIUM
Show,100,300,18,0.88,49,462,CRITICAL,CRITICAL
Show,2000,250,7,0.82,27,118,HIGH,HIGH
Concert,1000,0,24,0.24,62,868,HIGH,HIGH
Technology,2000,300,1,0.18,55,39,LOW,LOW
Sports,200,250,14,0.72,40,278,CRITICAL,CRITICAL
Sports,100,500,5,0.42,22,73,CRITICAL,CRITICAL
Technology,800,1000,5,0.33,40,110,LOW,LOW
Show,2000,300,22,0.24,35,427,LOW,LOW
Sports,100,250,17,0.75,36,341,CRITICAL,CRITICAL
Concert,200,750,19,0.3,61,576,CRITICAL,CRITICAL
Technology,1000,250,2,0.44,65,91,MEDIUM,MEDIUM
Sports,1000,250,19,0.81,23,275,CRITICAL,CRITICAL
Sports,1500,750,4,0.3,32,69,LOW,LOW
Sports,200,1500,21,0.15,34,366,CRITICAL,CRITICAL
Cultural,1000,750,27,0.36,39,523,MEDIUM,MEDIUM
Cultural,2000,1000,1,0.12,14,7,LOW,LOW
Cultural,2000,1500,11,0.2,29,155,LOW,LOW
Cultural,500,500,6,0.49,13,50,MEDIUM,MEDIUM
Sports,1500,1500,1,0.34,19,9,LOW,LOW
Workshop,100,250,29,0.11,52,899,CRITICAL,CRITICAL
Workshop,500,0,30,0.77,39,699,CRITICAL,CRITICAL
Concert,100,1000,28,0.44,31,499,CRITICAL,CRITICAL
Show,2000,1500,15,0.56,23,197,MEDIUM,MEDIUM
Sports,800,1500,24,0.69,14,235,HIGH,HIGH
Cultural,2000,0,24,0.31,40,586,MEDIUM,MEDIUM
Show,1000,500,23,0.9,34,401,CRITICAL,CRITICAL
Technology,200,2000,3,0.36,36,68,MEDIUM,MEDIUM
Sports,200,300,7,0.62,28,132,CRITICAL,CRITICAL
Workshop,200,750,30,0.84,22,380,CRITICAL,CRITICAL
Sports,200,0,24,0.72,23,288,CRITICAL,CRITICAL
Sports,200,500,19,0.76,27,364,CRITICAL,CRITICAL
Workshop,800,1000,28,0.47,6,112,MEDIUM,MEDIUM
Concert,500,1000,28,0.86,45,725,CRITICAL,CRITICAL
Cultural,200,500,12,0.47,24,202,CRITICAL,CRITICAL
Concert,500,250,15,0.29,70,669,CRITICAL,CRITICAL
Sports,2000,1500,29,0.4,21,376,MEDIUM,MEDIUM
Show,200,1000,5,0.42,24,81,MEDIUM,MEDIUM
Concert,100,2000,23,0.52,45,712,CRITICAL,CRITICAL
Technology,1500,300,4,0.63,32,89,MEDIUM,MEDIUM
Workshop,800,1500,28,0.12,32,507,MEDIUM,MEDIUM
Sports,500,2000,3,0.82,13,19,HIGH,HIGH
Technology,500,250,3,0.7,69,126,HIGH,HIGH
Cultural,100,750,20,0.53,30,425,CRITICAL,CRITICAL
Workshop,800,1000,24,0.16,16,201,LOW,LOW
Workshop,2000,300,17,0.73,40,426,HIGH,HIGH
Workshop,200,300,10,0.39,19,116,HIGH,HIGH
Sports,2000,250,16,0.71,23,204,HIGH,HIGH
Cultural,1000,750,18,0.25,23,202,LOW,LOW
Concert,100,750,9,0.91,68,413,CRITICAL,CRITICAL
Technology,800,500,22,0.77,46,550,CRITICAL,CRITICAL
Sports,200,500,17,0.82,31,352,CRITICAL,CRITICAL
Sports,2000,1000,9,0.72,28,168,HIGH,HIGH
Concert,1500,2000,17,0.87,33,299,CRITICAL,CRITICAL
Concert,2000,500,18,0.21,37,370,LOW,LOW
Workshop,1500,1500,21,0.13,33,395,LOW,LOW
Concert,200,300,21,0.17,66,887,CRITICAL,CRITICAL
Cultural,800,1500,3,0.4,8,12,MEDIUM,MEDIUM
Sports,500,250,10,0.18,55,323,MEDIUM,MEDIUM
Show,500,1000,3,0.69,39,80,HIGH,HIGH
Cultural,1000,750,8,0.5,26,137,MEDIUM,MEDIUM
Concert,2000,1000,16,0.63,22,200,MEDIUM,MEDIUM
Workshop,500,300,29,0.4,46,762,CRITICAL,CRITICAL
Cultural,2000,2000,26,0.67,19,346,HIGH,HIGH
Show,1000,500,3,0.57,20,29,MEDIUM,MEDIUM
Workshop,1500,1000,12,0.37,31,260,MEDIUM,MEDIUM
Sports,100,250,9,0.11,24,116,CRITICAL,CRITICAL
Cultural,100,250,24,0.21,27,445,CRITICAL,CRITICAL
Show,500,2000,14,0.14,24,190,MEDIUM,MEDIUM
Technology,100,0,21,0.25,75,992,CRITICAL,CRITICAL
Concert,1500,1500,27,0.71,52,999,CRITICAL,CRITICAL
Technology,800,750,8,0.1,47,221,LOW,LOW
Concert,1000,0,12,0.8,52,331,CRITICAL,CRITICAL
Technology,1000,300,13,0.64,51,384,HIGH,HIGH
Sports,200,0,5,0.62,36,117,CRITICAL,CRITICAL
Show,1000,1000,9,0.55,31,188,MEDIUM,MEDIUM
Concert,1500,750,24,0.18,17,261,LOW,LOW
Show,200,500,8,0.66,32,132,CRITICAL,CRITICAL
Concert,1500,0,3,0.51,60,86,MEDIUM,MEDIUM
Sports,800,250,6,0.74,35,139,HIGH,HIGH
Workshop,1000,2000,11,0.64,19,142,MEDIUM,MEDIUM
Cultural,800,300,27,0.32,40,549,HIGH,HIGH
Technology,1500,300,14,0.56,32,274,MEDIUM,MEDIUM
Workshop,500,750,7,0.87,33,120,CRITICAL,CRITICAL
Cultural,200,0,11,0.46,27,145,CRITICAL,CRITICAL
Cultural,100,250,19,0.2,30,389,CRITICAL,CRITICAL
Workshop,1500,1000,27,0.84,33,565,CRITICAL,CRITICAL
Show,800,750,4,0.7,29,74,HIGH,HIGH
Cultural,200,1500,4,0.72,9,17,HIGH,HIGH
Cultural,500,750,10,0.46,20,107,MEDIUM,MEDIUM
Show,500,750,27,0.31,35,554,CRITICAL,CRITICAL
Cultural,100,250,12,0.17,42,272,CRITICAL,CRITICAL
Concert,1000,0,16,0.94,54,568,CRITICAL,CRITICAL
Sports,800,500,10,0.75,20,115,HIGH,HIGH
Sports,200,1000,29,0.71,14,219,CRITICAL,CRITICAL
Show,200,2000,19,0.56,28,327,CRITICAL,CRITICAL
Sports,2000,0,18,0.22,15,163,LOW,LOW
Workshop,100,1000,1,0.76,18,12,HIGH,HIGH
Workshop,800,300,26,0.21,25,316,MEDIUM,MEDIUM
Workshop,500,500,25,0.37,20,331,HIGH,HIGH
Sports,2000,250,17,0.94,11,125,CRITICAL,CRITICAL
Show,2000,300,24,0.57,33,440,MEDIUM,MEDIUM
Show,200,1500,17,0.51,35,360,CRITICAL,CRITICAL
Show,1000,500,19,0.35,9,82,LOW,LOW
Concert,500,0,2,0.91,71,97,CRITICAL,CRITICAL
Concert,100,500,3,0.55,29,57,CRITICAL,CRITICAL
Workshop,500,500,3,0.89,18,32,CRITICAL,CRITICAL
Sports,2000,1500,8,0.56,25,134,MEDIUM,MEDIUM
Sports,1000,300,26,0.33,46,619,HIGH,HIGH
Workshop,100,300,16,0.54,32,283,CRITICAL,CRITICAL
Show,200,2000,30,0.3,9,182,CRITICAL,CRITICAL
Show,2000,300,19,0.61,20,239,MEDIUM,MEDIUM
Cultural,1000,1000,20,0.54,39,451,HIGH,HIGH
Technology,1000,500,19,0.78,38,364,CRITICAL,CRITICAL
Concert,500,500,30,0.15,33,678,CRITICAL,CRITICAL
Show,1500,300,15,0.28,28,220,LOW,LOW
Technology,1000,2000,25,0.73,43,573,CRITICAL,CRITICAL
Sports,1000,1500,18,0.15,24,278,LOW,LOW
Cultural,200,1500,18,0.64,7,81,HIGH,HIGH
Cultural,800,500,19,0.81,23,277,CRITICAL,CRITICAL
Sports,100,300,21,0.73,22,316,CRITICAL,CRITICAL
Sports,800,1500,4,0.8,34,94,HIGH,HIGH
Cultural,500,0,25,0.14,53,638,CRITICAL,CRITICAL
Show,800,1500,10,0.38,27,142,MEDIUM,MEDIUM
Technology,500,0,30,0.43,56,876,CRITICAL,CRITICAL
Cultural,1000,1000,7,0.95,38,145,CRITICAL,CRITICAL
Workshop,100,300,16,0.87,47,540,CRITICAL,CRITICAL
Show,1000,2000,12,0.44,16,127,MEDIUM,MEDIUM
Concert,1500,0,6,0.43,61,207,MEDIUM,MEDIUM
Workshop,1000,2000,30,0.72,8,165,HIGH,HIGH
Sports,1500,300,10,0.93,26,144,CRITICAL,CRITICAL
Show,1000,750,7,0.68,9,31,HIGH,HIGH
Workshop,500,1500,29,0.72,35,707,CRITICAL,CRITICAL
Show,500,0,18,0.63,52,552,CRITICAL,CRITICAL
Cultural,1500,0,2,0.64,26,29,MEDIUM,MEDIUM
Sports,500,500,15,0.24,17,150,LOW,LOW
Show,2000,750,1,0.14,27,14,LOW,LOW
Sports,800,750,5,0.2,37,120,LOW,LOW
Technology,800,1500,28,0.47,26,460,HIGH,HIGH
Show,1000,0,18,0.6,37,425,HIGH,HIGH
Show,200,0,11,0.9,33,213,CRITICAL,CRITICAL
Concert,1000,2000,6,0.78,41,150,HIGH,HIGH
Cultural,500,500,13,0.12,10,82,LOW,LOW
Workshop,1000,500,16,0.43,23,182,MEDIUM,MEDIUM
Show,1500,500,21,0.85,6,79,HIGH,HIGH
Cultural,100,500,1,0.54,16,10,MEDIUM,MEDIUM
Show,2000,500,5,0.26,34,116,LOW,LOW
Workshop,500,1500,14,0.81,36,345,CRITICAL,CRITICAL
Concert,200,1500,3,0.59,24,50,MEDIUM,MEDIUM
Workshop,800,300,28,0.59,37,621,CRITICAL,CRITICAL
Cultural,2000,1000,5,0.9,26,71,CRITICAL,CRITICAL
Cultural,100,300,22,0.2,16,170,CRITICAL,CRITICAL
Concert,100,500,21,0.88,55,629,CRITICAL,CRITICAL
Show,200,300,13,0.52,30,254,CRITICAL,CRITICAL
Concert,800,0,14,0.71,61,522,CRITICAL,CRITICAL
Sports,200,1000,2,0.78,38,39,HIGH,HIGH
Technology,1500,2000,16,0.47,30,319,MEDIUM,MEDIUM
Sports,1000,750,24,0.82,9,104,HIGH,HIGH
Workshop,200,250,3,0.18,15,30,LOW,LOW
Cultural,800,1000,14,0.77,31,246,CRITICAL,CRITICAL
Cultural,200,1000,28,0.59,25,496,CRITICAL,CRITICAL
Show,500,0,1,0.49,15,10,MEDIUM,MEDIUM
Sports,500,300,2,0.13,31,35,LOW,LOW
Technology,1000,250,7,0.23,64,271,LOW,LOW
Technology,500,0,13,0.12,65,599,CRITICAL,CRITICAL
Sports,2000,300,6,0.59,24,79,MEDIUM,MEDIUM
Technology,2000,250,21,0.61,67,755,HIGH,HIGH
Sports,1500,500,18,0.2,21,213,LOW,LOW
Sports,1000,1000,11,0.17,24,146,LOW,LOW
Concert,2000,1000,9,0.29,33,205,LOW,LOW
Technology,200,750,7,0.36,31,120,HIGH,HIGH
Concert,800,500,23,0.55,27,323,HIGH,HIGH
Concert,1500,1000,23,0.47,59,752,HIGH,HIGH
Sports,800,1000,12,0.49,37,306,MEDIUM,MEDIUM
Workshop,1500,1000,10,0.36,17,107,MEDIUM,MEDIUM
Concert,200,1500,19,0.82,45,446,CRITICAL,CRITICAL
Cultural,2000,250,19,0.74,37,422,HIGH,HIGH
Technology,100,500,26,0.29,68,905,CRITICAL,CRITICAL
Cultural,100,300,14,0.41,38,310,CRITICAL,CRITICAL
Show,2000,250,5,0.27,52,182,LOW,LOW
Cultural,1000,0,21,0.68,36,538,CRITICAL,CRITICAL
Concert,800,750,3,0.52,40,66,MEDIUM,MEDIUM
Sports,500,300,2,0.22,32,40,LOW,LOW
Show,1000,0,14,0.89,28,211,CRITICAL,CRITICAL
Sports,500,1500,10,0.22,11,74,LOW,LOW
Cultural,1500,0,16,0.47,39,361,MEDIUM,MEDIUM
Workshop,500,1000,2,0.41,8,10,MEDIUM,MEDIUM
Sports,1000,250,23,0.29,33,545,MEDIUM,MEDIUM
Technology,1500,300,10,0.13,66,342,LOW,LOW
Concert,200,250,7,0.3,48,188,CRITICAL,CRITICAL
Show,2000,1500,21,0.43,33,413,MEDIUM,MEDIUM
Cultural,100,500,9,0.85,19,112,CRITICAL,CRITICAL
Sports,200,750,4,0.61,38,101,CRITICAL,CRITICAL
Workshop,2000,1000,4,0.36,22,47,MEDIUM,MEDIUM
Show,500,750,7,0.12,36,136,LOW,LOW
Workshop,200,250,18,0.57,38,472,CRITICAL,CRITICAL
Technology,800,750,21,0.2,39,515,MEDIUM,MEDIUM
Sports,2000,1500,23,0.84,30,366,HIGH,HIGH
Workshop,100,750,13,0.2,18,147,CRITICAL,CRITICAL
Concert,100,500,23,0.51,57,739,CRITICAL,CRITICAL
Cultural,1500,1500,22,0.74,23,275,HIGH,HIGH
Workshop,2000,1500,11,0.67,15,83,HIGH,HIGH
Concert,500,300,7,0.9,45,177,CRITICAL,CRITICAL
Concert,500,250,29,0.25,60,863,CRITICAL,CRITICAL
Technology,1500,300,1,0.36,41,20,MEDIUM,MEDIUM
Show,1000,750,26,0.37,6,90,MEDIUM,MEDIUM
Sports,2000,500,24,0.4,27,312,MEDIUM,MEDIUM
Workshop,2000,300,16,0.88,38,416,CRITICAL,CRITICAL
Concert,1000,2000,12,0.73,38,270,HIGH,HIGH
Sports,200,300,3,0.11,16,25,LOW,LOW
Sports,500,250,7,0.44,21,93,MEDIUM,MEDIUM
Workshop,2000,750,7,0.94,21,94,CRITICAL,CRITICAL
Sports,500,750,29,0.92,36,635,CRITICAL,CRITICAL
Concert,2000,1000,14,0.68,64,519,HIGH,HIGH
Technology,100,300,28,0.16,66,914,CRITICAL,CRITICAL
Workshop,100,1500,26,0.84,27,384,CRITICAL,CRITICAL
Cultural,100,1000,20,0.82,39,514,CRITICAL,CRITICAL
Technology,200,300,5,0.69,42,129,CRITICAL,CRITICAL
Sports,100,300,17,0.38,45,369,CRITICAL,CRITICAL
Cultural,1000,1500,28,0.65,36,533,CRITICAL,CRITICAL
Cultural,2000,250,8,0.55,44,215,MEDIUM,MEDIUM
Show,1500,1000,28,0.34,10,191,LOW,LOW
Workshop,1500,1000,17,0.6,27,288,MEDIUM,MEDIUM
Show,100,2000,10,0.47,13,72,CRITICAL,CRITICAL
Workshop,1000,250,5,0.33,38,116,LOW,LOW
Technology,800,300,8,0.9,50,197,CRITICAL,CRITICAL
Concert,500,750,27,0.75,39,706,CRITICAL,CRITICAL
Technology,800,500,14,0.89,52,495,CRITICAL,CRITICAL
Technology,800,500,8,0.65,53,216,MEDIUM,MEDIUM
Concert,2000,1000,20,0.2,41,446,LOW,LOW
Workshop,200,1500,2,0.9,19,26,CRITICAL,CRITICAL
Sports,500,500,30,0.27,29,535,CRITICAL,CRITICAL
Technology,500,0,27,0.65,52,700,CRITICAL,CRITICAL
Technology,100,1000,19,0.14,36,457,CRITICAL,CRITICAL
Sports,100,2000,16,0.46,10,109,CRITICAL,CRITICAL
Cultural,800,1000,26,0.31,35,606,HIGH,HIGH
Technology,200,250,1,0.45,74,50,MEDIUM,MEDIUM
Concert,200,1000,30,0.61,54,1007,CRITICAL,CRITICAL
Sports,1000,300,18,0.76,46,446,CRITICAL,CRITICAL
Concert,200,300,19,0.94,59,734,CRITICAL,CRITICAL
Cultural,100,750,23,0.32,37,543,CRITICAL,CRITICAL
Sports,200,500,22,0.94,24,313,CRITICAL,CRITICAL
Concert,1500,250,24,0.15,58,712,MEDIUM,MEDIUM
Technology,800,750,3,0.36,48,78,MEDIUM,MEDIUM
Show,800,500,13,0.54,14,95,MEDIUM,MEDIUM
Sports,800,750,15,0.92,7,54,CRITICAL,CRITICAL
Sports,1000,1000,13,0.66,32,230,HIGH,HIGH
Technology,100,1000,5,0.57,40,110,CRITICAL,CRITICAL
Workshop,200,0,26,0.61,27,452,CRITICAL,CRITICAL
Workshop,100,750,30,0.66,5,83,CRITICAL,CRITICAL
Concert,500,250,12,0.46,60,429,CRITICAL,CRITICAL
Concert,1500,300,26,0.55,73,1130,CRITICAL,CRITICAL
Cultural,100,250,15,0.45,52,409,CRITICAL,CRITICAL
Show,1000,300,15,0.51,19,190,MEDIUM,MEDIUM
Workshop,1000,300,4,0.3,40,77,LOW,LOW
Technology,100,2000,14,0.94,39,307,CRITICAL,CRITICAL
Concert,2000,2000,7,0.19,62,236,LOW,LOW
Technology,200,500,9,0.92,64,330,CRITICAL,CRITICAL
Cultural,100,0,14,0.42,41,339,CRITICAL,CRITICAL
Cultural,200,1500,16,0.95,37,371,CRITICAL,CRITICAL
Technology,100,300,17,0.58,55,495,CRITICAL,CRITICAL
Sports,200,250,3,0.76,36,60,CRITICAL,CRITICAL
Show,100,300,22,0.42,33,439,CRITICAL,CRITICAL
Show,1500,500,16,0.82,31,340,CRITICAL,CRITICAL
Cultural,800,750,29,0.34,20,383,MEDIUM,MEDIUM
Sports,100,750,18,0.51,20,222,CRITICAL,CRITICAL
Workshop,200,750,2,0.9,39,48,CRITICAL,CRITICAL
Sports,100,1000,5,0.44,9,31,MEDIUM,MEDIUM
Concert,200,250,9,0.26,56,299,CRITICAL,CRITICAL
Workshop,200,250,1,0.66,41,22,HIGH,HIGH
Cultural,200,0,13,0.88,38,334,CRITICAL,CRITICAL
Concert,1500,0,11,0.27,68,470,MEDIUM,MEDIUM
Technology,2000,2000,26,0.7,55,817,CRITICAL,CRITICAL
Technology,2000,500,21,0.4,39,403,MEDIUM,MEDIUM
Workshop,200,300,20,0.59,46,633,CRITICAL,CRITICAL
Sports,800,1500,14,0.28,9,88,LOW,LOW
Workshop,100,1500,10,0.24,40,246,CRITICAL,CRITICAL
Sports,500,750,25,0.12,37,563,CRITICAL,CRITICAL
Concert,2000,1500,1,0.18,52,33,LOW,LOW
Cultural,100,250,29,0.94,45,726,CRITICAL,CRITICAL
Sports,1500,2000,23,0.37,30,472,MEDIUM,MEDIUM
Show,1000,0,22,0.2,26,394,MEDIUM,MEDIUM
Workshop,100,1500,2,0.66,30,29,HIGH,HIGH
Workshop,200,1000,28,0.91,7,117,CRITICAL,CRITICAL
Sports,100,300,16,0.29,21,189,CRITICAL,CRITICAL
Technology,1500,750,8,0.31,50,237,LOW,LOW
Concert,200,500,24,0.59,40,689,CRITICAL,CRITICAL
Workshop,200,0,2,0.56,44,59,MEDIUM,MEDIUM
Technology,200,2000,3,0.15,30,49,LOW,LOW
Workshop,200,250,12,0.93,32,216,CRITICAL,CRITICAL
Concert,100,300,25,0.25,61,872,CRITICAL,CRITICAL
Workshop,1000,750,10,0.94,20,133,CRITICAL,CRITICAL
Technology,1500,300,13,0.75,55,397,HIGH,HIGH
Concert,1000,2000,3,0.17,31,49,LOW,LOW
Concert,1000,750,28,0.61,25,432,HIGH,HIGH
Concert,2000,250,15,0.73,64,468,HIGH,HIGH
Sports,1500,500,7,0.37,30,120,MEDIUM,MEDIUM
Cultural,800,1500,15,0.34,23,205,LOW,LOW
Workshop,200,250,26,0.81,42,755,CRITICAL,CRITICAL
Show,2000,1500,16,0.17,14,119,LOW,LOW
Sports,500,1000,21,0.84,15,212,CRITICAL,CRITICAL
Concert,200,0,3,0.19,54,83,MEDIUM,MEDIUM
Cultural,200,1000,20,0.21,39,410,CRITICAL,CRITICAL
Concert,800,1000,16,0.77,34,263,CRITICAL,CRITICAL
Technology,800,1000,17,0.63,44,398,CRITICAL,CRITICAL
Technology,2000,500,21,0.14,45,539,LOW,LOW
Concert,1500,0,6,0.95,56,188,CRITICAL,CRITICAL
Show,200,750,9,0.36,35,156,CRITICAL,CRITICAL
Technology,1500,1500,21,0.78,45,604,CRITICAL,CRITICAL
Sports,800,1500,25,0.38,15,255,MEDIUM,MEDIUM
Sports,200,0,28,0.64,45,790,CRITICAL,CRITICAL
Cultural,2000,250,8,0.45,45,259,MEDIUM,MEDIUM
Cultural,200,300,22,0.9,55,774,CRITICAL,CRITICAL
Cultural,1000,300,18,0.61,40,416,HIGH,HIGH
Cultural,500,2000,12,0.91,5,36,CRITICAL,CRITICAL
Workshop,800,2000,17,0.17,9,84,LOW,LOW
Workshop,100,1000,1,0.61,35,17,MEDIUM,MEDIUM
Sports,2000,300,13,0.14,49,337,LOW,LOW
Show,1000,1000,6,0.52,11,38,MEDIUM,MEDIUM
Cultural,200,300,14,0.76,31,243,CRITICAL,CRITICAL
Sports,200,1000,16,0.44,24,193,CRITICAL,CRITICAL
Sports,800,2000,2,0.59,40,41,MEDIUM,MEDIUM
Sports,500,300,10,0.23,52,363,HIGH,HIGH
Technology,200,1500,17,0.26,43,351,CRITICAL,CRITICAL
Cultural,800,1000,22,0.93,28,400,CRITICAL,CRITICAL
Cultural,1000,250,30,0.48,15,305,MEDIUM,MEDIUM
Technology,200,0,15,0.64,52,389,CRITICAL,CRITICAL
Cultural,800,300,1,0.27,20,10,LOW,LOW
Technology,1500,1000,4,0.59,58,134,MEDIUM,MEDIUM
Sports,2000,500,1,0.7,17,9,HIGH,HIGH
Show,1000,2000,9,0.5,25,124,MEDIUM,MEDIUM
Cultural,500,250,2,0.94,22,25,CRITICAL,CRITICAL
Technology,200,500,13,0.15,57,365,CRITICAL,CRITICAL
Technology,100,1500,23,0.62,49,625,CRITICAL,CRITICAL
Show,1500,1500,28,0.28,7,135,LOW,LOW
Show,100,750,9,0.24,35,201,CRITICAL,CRITICAL
Sports,100,300,29,0.94,55,910,CRITICAL,CRITICAL
Concert,200,0,23,0.34,61,961,CRITICAL,CRITICAL
Workshop,500,250,1,0.41,42,20,MEDIUM,MEDIUM
Technology,800,2000,21,0.63,34,368,CRITICAL,CRITICAL
Concert,200,750,12,0.82,43,311,CRITICAL,CRITICAL
Sports,800,300,14,0.71,25,245,HIGH,HIGH
Workshop,1500,1500,21,0.95,11,132,CRITICAL,CRITICAL
Cultural,200,1500,26,0.58,27,418,CRITICAL,CRITICAL
Workshop,800,500,2,0.94,37,42,CRITICAL,CRITICAL
Cultural,1000,300,12,0.45,18,121,MEDIUM,MEDIUM
Technology,200,1500,14,0.7,28,227,CRITICAL,CRITICAL
Cultural,1000,250,5,0.36,51,170,MEDIUM,MEDIUM
Workshop,2000,250,18,0.18,15,133,LOW,LOW
Concert,1500,0,17,0.92,66,586,CRITICAL,CRITICAL
Workshop,800,250,27,0.46,37,536,CRITICAL,CRITICAL
Sports,1000,2000,24,0.1,37,582,MEDIUM,MEDIUM
Sports,100,750,11,0.29,30,177,CRITICAL,CRITICAL
Cultural,500,1000,23,0.4,27,381,CRITICAL,CRITICAL
Cultural,200,750,8,0.93,17,86,CRITICAL,CRITICAL
Cultural,100,1000,9,0.86,6,35,CRITICAL,CRITICAL
Workshop,1000,1500,25,0.38,8,136,MEDIUM,MEDIUM
Technology,1000,300,15,0.36,66,539,MEDIUM,MEDIUM
Show,2000,0,27,0.42,24,401,MEDIUM,MEDIUM
Sports,800,300,7,0.31,58,224,MEDIUM,MEDIUM
Workshop,100,250,1,0.26,28,17,LOW,LOW
Sports,100,2000,27,0.45,12,218,CRITICAL,CRITICAL
Cultural,800,750,16,0.75,6,46,HIGH,HIGH
Workshop,1000,1500,19,0.36,36,372,MEDIUM,MEDIUM
Technology,800,1500,28,0.18,29,393,MEDIUM,MEDIUM
Workshop,500,750,10,0.36,14,69,MEDIUM,MEDIUM
Sports,2000,750,19,0.85,28,354,HIGH,HIGH
Workshop,2000,300,20,0.75,42,541,HIGH,HIGH
Concert,1000,0,12,0.36,64,460,MEDIUM,MEDIUM
Cultural,1000,2000,28,0.22,38,583,MEDIUM,MEDIUM
Concert,1500,750,30,0.83,48,835,CRITICAL,CRITICAL
Technology,500,2000,6,0.25,44,133,LOW,LOW
Workshop,800,300,19,0.75,32,435,CRITICAL,CRITICAL
Show,100,1000,11,0.41,6,43,MEDIUM,MEDIUM
Workshop,800,1000,23,0.79,32,490,CRITICAL,CRITICAL
Concert,800,2000,18,0.86,66,743,CRITICAL,CRITICAL
Show,1000,500,9,0.78,12,69,HIGH,HIGH
Sports,1500,2000,4,0.42,10,27,MEDIUM,MEDIUM
Cultural,800,0,20,0.38,41,473,HIGH,HIGH
Sports,500,250,9,0.94,34,199,CRITICAL,CRITICAL
Workshop,800,1500,26,0.73,17,243,HIGH,HIGH
Show,200,300,28,0.64,41,723,CRITICAL,CRITICAL
Sports,500,750,18,0.78,29,328,CRITICAL,CRITICAL
Cultural,800,2000,12,0.7,30,204,HIGH,HIGH
Technology,2000,1500,18,0.71,46,582,HIGH,HIGH
Technology,2000,500,6,0.55,52,153,MEDIUM,MEDIUM
Sports,2000,500,1,0.46,27,15,MEDIUM,MEDIUM
Concert,500,1000,2,0.85,44,45,HIGH,HIGH
Show,200,0,18,0.54,37,413,CRITICAL,CRITICAL
Concert,1500,1000,27,0.93,30,415,CRITICAL,CRITICAL
Workshop,200,300,26,0.24,32,499,CRITICAL,CRITICAL
Cultural,100,250,4,0.77,22,52,CRITICAL,CRITICAL
Workshop,200,1500,24,0.23,40,599,CRITICAL,CRITICAL
Workshop,100,1000,27,0.17,30,571,CRITICAL,CRITICAL
Sports,500,750,26,0.19,37,527,CRITICAL,CRITICAL
Technology,200,1500,20,0.66,50,649,CRITICAL,CRITICAL
Cultural,800,300,5,0.88,34,111,CRITICAL,CRITICAL
Workshop,1500,1000,16,0.18,21,162,LOW,LOW
Sports,800,250,11,0.51,47,278,MEDIUM,MEDIUM
Cultural,100,1500,7,0.27,8,39,MEDIUM,MEDIUM
Sports,1000,0,5,0.78,21,56,HIGH,HIGH
Concert,200,750,11,0.22,31,174,HIGH,HIGH
Workshop,500,0,22,0.37,22,314,HIGH,HIGH
Concert,100,300,23,0.34,55,849,CRITICAL,CRITICAL
Sports,1000,2000,13,0.79,29,194,HIGH,HIGH
Show,500,300,25,0.74,20,275,CRITICAL,CRITICAL
Workshop,100,500,8,0.77,34,168,CRITICAL,CRITICAL
Workshop,800,0,13,0.33,13,87,LOW,LOW
Cultural,200,2000,26,0.37,15,229,CRITICAL,CRITICAL
Show,2000,1000,21,0.19,36,472,LOW,LOW
Technology,2000,250,23,0.63,34,446,MEDIUM,MEDIUM
Concert,1500,1500,15,0.91,36,277,CRITICAL,CRITICAL
Technology,1000,500,27,0.24,49,661,HIGH,HIGH
Sports,100,500,8,0.73,40,209,CRITICAL,CRITICAL
Concert,1000,750,10,0.12,30,149,LOW,LOW
Workshop,1500,2000,23,0.87,12,166,CRITICAL,CRITICAL
Concert,800,0,20,0.55,56,638,CRITICAL,CRITICAL
Concert,500,0,30,0.31,35,703,CRITICAL,CRITICAL
Technology,500,2000,16,0.17,25,216,MEDIUM,MEDIUM
Sports,500,0,13,0.54,16,123,MEDIUM,MEDIUM
Show,500,300,7,0.16,27,115,LOW,LOW
